date,mean_temperature,daylength,site,PAR_incident
2000_01_10,1,8.8525,LUSIGNAN,100
2000_01_11,-1,8.878888889,LUSIGNAN,100
2000_01_12,0,8.906111111,LUSIGNAN,100
2000_01_13,1,8.935,LUSIGNAN,100
2000_01_14,4,8.964722222,LUSIGNAN,100
2000_01_15,4,8.995555556,LUSIGNAN,100
2000_01_16,2,9.027222222,LUSIGNAN,100
2000_01_17,2,9.060277778,LUSIGNAN,100
2000_01_18,4,9.094166667,LUSIGNAN,100
2000_01_19,5,9.128888889,LUSIGNAN,100
2000_01_20,3,9.164722222,LUSIGNAN,100
2000_01_21,3,9.201388889,LUSIGNAN,100
2000_01_22,5,9.238611111,LUSIGNAN,100
2000_01_23,2,9.277222222,LUSIGNAN,100
2000_01_24,1,9.316388889,LUSIGNAN,100
2000_01_25,-3,9.356388889,LUSIGNAN,100
2000_01_26,0,9.397222222,LUSIGNAN,100
2000_01_27,1,9.438611111,LUSIGNAN,100
2000_01_28,5,9.480833333,LUSIGNAN,100
2000_01_29,7,9.523888889,LUSIGNAN,100
2000_01_30,11,9.567222222,LUSIGNAN,100
2000_01_31,9,9.611666667,LUSIGNAN,100
2000_02_01,7,9.656666667,LUSIGNAN,100
2000_02_02,9,9.701944444,LUSIGNAN,100
2000_02_03,4,9.747777778,LUSIGNAN,100
2000_02_04,6,9.794444444,LUSIGNAN,100
2000_02_05,9,9.841666667,LUSIGNAN,100
2000_02_06,8,9.889166667,LUSIGNAN,100
2000_02_07,9,9.937222222,LUSIGNAN,100
2000_02_08,11,9.985833333,LUSIGNAN,100
2000_02_09,7,10.03472222,LUSIGNAN,100
2000_02_10,7,10.08388889,LUSIGNAN,100
2000_02_11,4,10.13388889,LUSIGNAN,100
2000_02_12,3,10.18416667,LUSIGNAN,100
2000_02_13,7,10.23444444,LUSIGNAN,100
2000_02_14,9,10.28527778,LUSIGNAN,100
2000_02_15,10,10.33638889,LUSIGNAN,100
2000_02_16,7,10.38777778,LUSIGNAN,100
2000_02_17,6,10.43944444,LUSIGNAN,100
2000_02_18,9,10.49166667,LUSIGNAN,100
2000_02_19,9,10.54388889,LUSIGNAN,100
2000_02_20,4,10.59638889,LUSIGNAN,100
2000_02_21,3,10.64888889,LUSIGNAN,100
2000_02_22,5,10.70222222,LUSIGNAN,100
2000_02_23,5,10.75527778,LUSIGNAN,100
2000_02_24,10,10.80861111,LUSIGNAN,100
2000_02_25,11,10.8625,LUSIGNAN,100
2000_02_26,10,10.91611111,LUSIGNAN,100
2000_02_27,10,10.97,LUSIGNAN,100
2000_02_28,10,11.02388889,LUSIGNAN,100
2000_02_29,8,11.07833333,LUSIGNAN,100
2000_03_01,9,11.1325,LUSIGNAN,100
2000_03_02,5,11.18694444,LUSIGNAN,100
2000_03_03,9,11.24166667,LUSIGNAN,100
2000_03_04,6,11.29638889,LUSIGNAN,100
2000_03_05,4,11.35111111,LUSIGNAN,100
2000_03_06,5,11.40611111,LUSIGNAN,100
2000_03_07,7,11.46111111,LUSIGNAN,100
2000_03_08,8,11.51611111,LUSIGNAN,100
2000_03_09,10,11.57111111,LUSIGNAN,100
2000_03_10,12,11.62638889,LUSIGNAN,100
2000_03_11,11,11.68166667,LUSIGNAN,100
2000_03_12,10,11.73666667,LUSIGNAN,100
2000_03_13,9,11.79194444,LUSIGNAN,100
2000_03_14,11,11.84722222,LUSIGNAN,100
2000_03_15,8,11.9025,LUSIGNAN,100
2000_03_16,7,11.95805556,LUSIGNAN,100
2000_03_17,7,12.01333333,LUSIGNAN,100
2000_03_18,8,12.06861111,LUSIGNAN,100
2000_03_19,6,12.12388889,LUSIGNAN,100
2000_03_20,8,12.17916667,LUSIGNAN,100
2000_03_21,9,12.23472222,LUSIGNAN,100
2000_03_22,11,12.29,LUSIGNAN,100
2000_03_23,12,12.34527778,LUSIGNAN,100
2000_03_24,11,12.40055556,LUSIGNAN,100
2000_03_25,10,12.45583333,LUSIGNAN,100
2000_03_26,7,12.51083333,LUSIGNAN,100
2000_03_27,6,12.56611111,LUSIGNAN,100
2000_03_28,6,12.62111111,LUSIGNAN,100
2000_03_29,5,12.67611111,LUSIGNAN,100
2000_03_30,6,12.73111111,LUSIGNAN,100
2000_03_31,6,12.78583333,LUSIGNAN,100
2000_04_01,8,12.84083333,LUSIGNAN,100
2000_04_02,11,12.89555556,LUSIGNAN,100
2000_04_03,12,12.95027778,LUSIGNAN,100
2000_04_04,9,13.00472222,LUSIGNAN,100
2000_04_05,4,13.05916667,LUSIGNAN,100
2000_04_06,5,13.11361111,LUSIGNAN,100
2000_04_07,7,13.16777778,LUSIGNAN,100
2000_04_08,11,13.22166667,LUSIGNAN,100
2000_04_09,9,13.27555556,LUSIGNAN,100
2000_04_10,12,13.32944444,LUSIGNAN,100
2000_04_11,9,13.38333333,LUSIGNAN,100
2000_04_12,6,13.43638889,LUSIGNAN,100
2000_04_13,8,13.48972222,LUSIGNAN,100
2000_04_14,12,13.54277778,LUSIGNAN,100
2000_04_15,9,13.59583333,LUSIGNAN,100
2000_04_16,9,13.64861111,LUSIGNAN,100
2000_04_17,10,13.70083333,LUSIGNAN,100
2000_04_18,11,13.75333333,LUSIGNAN,100
2000_04_19,10,13.805,LUSIGNAN,100
2000_04_20,17,13.85666667,LUSIGNAN,100
2000_04_21,15,13.90833333,LUSIGNAN,100
2000_04_22,13,13.95944444,LUSIGNAN,100
2000_04_23,12,14.01027778,LUSIGNAN,100
2000_04_24,11,14.06083333,LUSIGNAN,100
2000_04_25,16,14.11138889,LUSIGNAN,100
2000_04_26,12,14.16138889,LUSIGNAN,100
2000_04_27,9,14.21055556,LUSIGNAN,100
2000_04_28,12,14.26,LUSIGNAN,100
2000_04_29,10,14.30888889,LUSIGNAN,100
2000_04_30,15,14.3575,LUSIGNAN,100
2000_05_01,17,14.40555556,LUSIGNAN,100
2000_05_02,16,14.45333333,LUSIGNAN,100
2000_05_03,16,14.50027778,LUSIGNAN,100
2000_05_04,18,14.54722222,LUSIGNAN,100
2000_05_05,18,14.59333333,LUSIGNAN,100
2000_05_06,17,14.63916667,LUSIGNAN,100
2000_05_07,16,14.68444444,LUSIGNAN,100
2000_05_08,18,14.72916667,LUSIGNAN,100
2000_05_09,18,14.77305556,LUSIGNAN,100
2000_05_10,17,14.81666667,LUSIGNAN,100
2000_05_11,16,14.85972222,LUSIGNAN,100
2000_05_12,17,14.90222222,LUSIGNAN,100
2000_05_13,17,14.94388889,LUSIGNAN,100
2000_05_14,18,14.98472222,LUSIGNAN,100
2000_05_15,20,15.025,LUSIGNAN,100
2000_05_16,18,15.06472222,LUSIGNAN,100
2000_05_17,14,15.10333333,LUSIGNAN,100
2000_05_18,12,15.14138889,LUSIGNAN,100
2000_05_19,11,15.17888889,LUSIGNAN,100
2000_05_20,14,15.21527778,LUSIGNAN,100
2000_05_21,13,15.25083333,LUSIGNAN,100
2000_05_22,12,15.28583333,LUSIGNAN,100
2000_05_23,13,15.31944444,LUSIGNAN,100
2000_05_24,14,15.35277778,LUSIGNAN,100
2000_05_25,17,15.38472222,LUSIGNAN,100
2000_05_26,13,15.41583333,LUSIGNAN,100
2000_05_27,12,15.44611111,LUSIGNAN,100
2000_05_28,14,15.47527778,LUSIGNAN,100
2000_05_29,11,15.50333333,LUSIGNAN,100
2000_05_30,14,15.53055556,LUSIGNAN,100
2000_05_31,16,15.55666667,LUSIGNAN,100
2000_06_01,19,15.58166667,LUSIGNAN,100
2000_06_02,20,15.60555556,LUSIGNAN,100
2000_06_03,19,15.62833333,LUSIGNAN,100
2000_06_04,15,15.65,LUSIGNAN,100
2000_06_05,15,15.67027778,LUSIGNAN,100
2000_06_06,14,15.68944444,LUSIGNAN,100
2000_06_07,14,15.70777778,LUSIGNAN,100
2000_06_08,18,15.72444444,LUSIGNAN,100
2000_06_09,18,15.74027778,LUSIGNAN,100
2000_06_10,14,15.75444444,LUSIGNAN,100
2000_06_11,15,15.7675,LUSIGNAN,100
2000_06_12,15,15.77944444,LUSIGNAN,100
2000_06_13,19,15.79,LUSIGNAN,100
2000_06_14,21,15.79916667,LUSIGNAN,100
2000_06_15,21,15.80722222,LUSIGNAN,100
2000_06_16,21,15.81388889,LUSIGNAN,100
2000_06_17,21,15.81916667,LUSIGNAN,100
2000_06_18,22,15.82333333,LUSIGNAN,100
2000_06_19,23,15.82611111,LUSIGNAN,100
2000_06_20,21,15.82722222,LUSIGNAN,100
2000_06_21,20,15.8275,LUSIGNAN,100
2000_06_22,18,15.82638889,LUSIGNAN,100
2000_06_23,16,15.82361111,LUSIGNAN,100
2000_06_24,16,15.81972222,LUSIGNAN,100
2000_06_25,14,15.81472222,LUSIGNAN,100
2000_06_26,18,15.80805556,LUSIGNAN,100
2000_06_27,19,15.80055556,LUSIGNAN,100
2000_06_28,19,15.79138889,LUSIGNAN,100
2000_06_29,19,15.78111111,LUSIGNAN,100
2000_06_30,20,15.76916667,LUSIGNAN,100
2000_07_01,20,15.75638889,LUSIGNAN,100
2000_07_02,21,15.74222222,LUSIGNAN,100
2000_07_03,20,15.72694444,LUSIGNAN,100
2000_07_04,19,15.71027778,LUSIGNAN,100
2000_07_05,19,15.6925,LUSIGNAN,100
2000_07_06,20,15.67333333,LUSIGNAN,100
2000_07_07,21,15.65333333,LUSIGNAN,100
2000_07_08,16,15.63194444,LUSIGNAN,100
2000_07_09,14,15.60944444,LUSIGNAN,100
2000_07_10,16,15.58583333,LUSIGNAN,100
2000_07_11,15,15.56138889,LUSIGNAN,100
2000_07_12,14,15.53527778,LUSIGNAN,100
2000_07_13,16,15.50888889,LUSIGNAN,100
2000_07_14,17,15.48111111,LUSIGNAN,100
2000_07_15,16,15.45194444,LUSIGNAN,100
2000_07_16,14,15.4225,LUSIGNAN,100
2000_07_17,15,15.39166667,LUSIGNAN,100
2000_07_18,17,15.36,LUSIGNAN,100
2000_07_19,17,15.32722222,LUSIGNAN,100
2000_07_20,19,15.29388889,LUSIGNAN,100
2000_07_21,20,15.25972222,LUSIGNAN,100
2000_07_22,22,15.22444444,LUSIGNAN,100
2000_07_23,20,15.18833333,LUSIGNAN,100
2000_07_24,20,15.15166667,LUSIGNAN,100
2000_07_25,16,15.11416667,LUSIGNAN,100
2000_07_26,19,15.07555556,LUSIGNAN,100
2000_07_27,18,15.03666667,LUSIGNAN,100
2000_07_28,19,14.99694444,LUSIGNAN,100
2000_07_29,19,14.95638889,LUSIGNAN,100
2000_07_30,19,14.91555556,LUSIGNAN,100
2000_07_31,20,14.87361111,LUSIGNAN,100
2000_08_01,22,14.83138889,LUSIGNAN,100
2000_08_02,19,14.78861111,LUSIGNAN,100
2000_08_03,18,14.745,LUSIGNAN,100
2000_08_04,17,14.70083333,LUSIGNAN,100
2000_08_05,19,14.65638889,LUSIGNAN,100
2000_08_06,18,14.61138889,LUSIGNAN,100
2000_08_07,21,14.56555556,LUSIGNAN,100
2000_08_08,21,14.51944444,LUSIGNAN,100
2000_08_09,22,14.47305556,LUSIGNAN,100
2000_08_10,23,14.42611111,LUSIGNAN,100
2000_08_11,24,14.37888889,LUSIGNAN,100
2000_08_12,24,14.33111111,LUSIGNAN,100
2000_08_13,21,14.28277778,LUSIGNAN,100
2000_08_14,22,14.23472222,LUSIGNAN,100
2000_08_15,22,14.18583333,LUSIGNAN,100
2000_08_16,19,14.13666667,LUSIGNAN,100
2000_08_17,20,14.08722222,LUSIGNAN,100
2000_08_18,21,14.03722222,LUSIGNAN,100
2000_08_19,22,13.98694444,LUSIGNAN,100
2000_08_20,19,13.93666667,LUSIGNAN,100
2000_08_21,16,13.88611111,LUSIGNAN,100
2000_08_22,18,13.835,LUSIGNAN,100
2000_08_23,23,13.78388889,LUSIGNAN,100
2000_08_24,24,13.7325,LUSIGNAN,100
2000_08_25,26,13.68083333,LUSIGNAN,100
2000_08_26,20,13.62888889,LUSIGNAN,100
2000_08_27,19,13.57694444,LUSIGNAN,100
2000_08_28,16,13.525,LUSIGNAN,100
2000_08_29,17,13.47222222,LUSIGNAN,100
2000_08_30,16,13.41972222,LUSIGNAN,100
2000_08_31,19,13.36694444,LUSIGNAN,100
2000_09_01,18,13.31416667,LUSIGNAN,100
2000_09_02,17,13.26111111,LUSIGNAN,100
2000_09_03,17,13.20777778,LUSIGNAN,100
2000_09_04,14,13.15444444,LUSIGNAN,100
2000_09_05,14,13.10111111,LUSIGNAN,100
2000_09_06,17,13.0475,LUSIGNAN,100
2000_09_07,19,12.99388889,LUSIGNAN,100
2000_09_08,19,12.94,LUSIGNAN,100
2000_09_09,22,12.88611111,LUSIGNAN,100
2000_09_10,22,12.83222222,LUSIGNAN,100
2000_09_11,23,12.77833333,LUSIGNAN,100
2000_09_12,20,12.72416667,LUSIGNAN,100
2000_09_13,18,12.67027778,LUSIGNAN,100
2000_09_14,18,12.61583333,LUSIGNAN,100
2000_09_15,18,12.56166667,LUSIGNAN,100
2000_09_16,16,12.5075,LUSIGNAN,100
2000_09_17,16,12.45277778,LUSIGNAN,100
2000_09_18,14,12.39861111,LUSIGNAN,100
2000_09_19,13,12.34416667,LUSIGNAN,100
